video,frames,unique_track_ids,max_concurrent_tracks,avg_concurrent_tracks,reappear_events_ge10frames,fps
pedestrian_crossing_480p.ogg,200,11,5,3.24,0,16.87
crowded_intersection_1080p.webm,200,41,8,5.31,7,24.03
